epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
149,3898.85,0.83951,0.60427,0.1877,0.81141,0.49149,0.57643,0.2794,0.72114,0.62753,0.26754,0.0081685,0.0081685,0.0081685
150,3925.35,0.85899,0.57036,0.18769,0.71889,0.50638,0.54456,0.27355,0.73665,0.63346,0.27283,0.00815613,0.00815613,0.00815613
151,3950.98,0.87976,0.57704,0.18827,0.75606,0.50426,0.56327,0.22767,0.77824,0.63004,0.28459,0.00814375,0.00814375,0.00814375
152,3976.59,0.90005,0.57057,0.18595,0.6731,0.46438,0.53194,0.24829,0.74858,0.64898,0.27334,0.00813138,0.00813138,0.00813138
153,4002.59,0.8663,0.57515,0.19017,0.81995,0.47872,0.54564,0.24792,0.76783,0.63757,0.31033,0.008119,0.008119,0.008119
154,4028.67,0.83635,0.59432,0.17396,0.74822,0.45532,0.52825,0.24058,0.76575,0.65045,0.27828,0.00810662,0.00810662,0.00810662
155,4054.35,0.80186,0.58954,0.17013,0.76789,0.51489,0.57158,0.26149,0.74786,0.63444,0.2675,0.00809425,0.00809425,0.00809425
156,4080.12,0.88636,0.57666,0.18208,0.78968,0.52553,0.58954,0.28958,0.70659,0.636,0.27628,0.00808188,0.00808188,0.00808188
157,4106.61,0.81176,0.56073,0.16748,0.762,0.53814,0.58455,0.27048,0.77415,0.5703,0.28248,0.0080695,0.0080695,0.0080695
158,4132.17,0.79027,0.58749,0.16148,0.80688,0.52448,0.60066,0.29973,0.70776,0.63954,0.27139,0.00805713,0.00805713,0.00805713
159,4158.69,0.84406,0.57956,0.17308,0.78997,0.54417,0.598,0.29952,0.69084,0.66505,0.2649,0.00804475,0.00804475,0.00804475
160,4184.85,0.88399,0.58076,0.18042,0.79748,0.55319,0.59514,0.27393,0.71911,0.63619,0.25723,0.00803238,0.00803238,0.00803238
161,4211.79,0.80525,0.63206,0.1637,0.82061,0.46717,0.56652,0.27377,0.68889,0.69072,0.25049,0.00802,0.00802,0.00802
162,4238.04,0.78989,0.61785,0.17007,0.62787,0.44873,0.50452,0.20911,0.76888,0.68658,0.26641,0.00800762,0.00800762,0.00800762
163,4263.99,0.86006,0.57739,0.17514,0.78132,0.53191,0.59812,0.31288,0.67966,0.64517,0.26546,0.00799525,0.00799525,0.00799525
164,4291.08,0.8637,0.57723,0.16776,0.73284,0.47021,0.54468,0.22561,0.78117,0.63569,0.28488,0.00798288,0.00798288,0.00798288
165,4317.88,0.85191,0.59458,0.17195,0.83692,0.51319,0.60604,0.30048,0.67024,0.66966,0.2576,0.0079705,0.0079705,0.0079705
166,4344.2,0.78418,0.60067,0.16012,0.74741,0.50366,0.57183,0.28687,0.70729,0.64663,0.26278,0.00795812,0.00795812,0.00795812
167,4369.82,0.81736,0.583,0.16614,0.8069,0.54255,0.61017,0.3158,0.70273,0.63434,0.25144,0.00794575,0.00794575,0.00794575
168,4397.28,0.77951,0.60171,0.15492,0.70773,0.45855,0.52617,0.24279,0.7325,0.68881,0.25686,0.00793338,0.00793338,0.00793338
169,4423.66,0.79383,0.5934,0.16185,0.82705,0.5234,0.6053,0.30688,0.68894,0.6409,0.27521,0.007921,0.007921,0.007921
170,4449.98,0.79182,0.5844,0.16288,0.84311,0.57872,0.65456,0.33255,0.68985,0.59515,0.24802,0.00790863,0.00790863,0.00790863
171,4477.72,0.87885,0.55541,0.17051,0.78335,0.52128,0.59402,0.24106,0.7819,0.58725,0.26144,0.00789625,0.00789625,0.00789625
172,4504.24,0.82987,0.5489,0.15738,0.80254,0.58511,0.64131,0.31803,0.6939,0.60331,0.2596,0.00788388,0.00788388,0.00788388
173,4530.01,0.79092,0.55914,0.15525,0.78435,0.54894,0.62911,0.27774,0.7394,0.59144,0.27177,0.0078715,0.0078715,0.0078715
174,4555.71,0.83632,0.56109,0.16705,0.76637,0.52344,0.58776,0.29576,0.7343,0.61609,0.26891,0.00785912,0.00785912,0.00785912
175,4581.84,0.76178,0.5843,0.15923,0.81722,0.54222,0.60862,0.30578,0.72288,0.61729,0.25929,0.00784675,0.00784675,0.00784675
176,4607.81,0.79151,0.58821,0.15767,0.79444,0.5345,0.59769,0.28837,0.73149,0.61433,0.27155,0.00783438,0.00783438,0.00783438
177,4633.7,0.83239,0.60408,0.16538,0.55475,0.40851,0.43791,0.15151,0.83056,0.67615,0.26175,0.007822,0.007822,0.007822
178,4659.3,0.79236,0.59251,0.15299,0.84909,0.52128,0.61309,0.28537,0.70686,0.63399,0.26065,0.00780963,0.00780963,0.00780963
179,4685.16,0.81319,0.57149,0.16253,0.86437,0.52884,0.62423,0.32203,0.68849,0.60793,0.24102,0.00779725,0.00779725,0.00779725
180,4711.49,0.77162,0.5656,0.15133,0.85822,0.55379,0.64462,0.33885,0.67146,0.60522,0.22401,0.00778488,0.00778488,0.00778488
181,4737.79,0.75292,0.56998,0.1453,0.77679,0.51915,0.60663,0.28463,0.73262,0.61619,0.2502,0.0077725,0.0077725,0.0077725
182,4763.62,0.79278,0.56103,0.14298,0.82034,0.56349,0.63319,0.31055,0.68508,0.61982,0.25579,0.00776013,0.00776013,0.00776013
183,4789.72,0.84633,0.53743,0.15952,0.75187,0.51489,0.58812,0.23399,0.78162,0.60999,0.26277,0.00774775,0.00774775,0.00774775
